ud,he,d,woman
0,24.83333,1,0
0,21.25,1,0
0,38.46,1,0
0,28.84,1,0
0,11.53333,1,0
0,48.075,1,0
0,9.625,1,0
0,12.58,1,0
0,9.575,1,0
0,27.2,1,0
0,21.15,1,0
0,10.75,1,0
0,45.15,1,0
0,25,1,0
0,46.15,1,0
0,18.18182,1,0
0,27.97727,1,0
0,18,1,0
0,9.6125,1,0
0,15.58,1,0
0,22.125,1,0
0,20.625,1,0
0,20.175,1,0
0,28.85,1,0
0,30.76,1,0
0,38.45,1,0
0,14.375,1,0
0,22,1,0
0,11.52,1,0
0,27.875,1,0
0,18,1,0
0,38.45,1,0
0,37.3,1,0
0,26,1,0
0,5.65,1,0
0,38.06,1,0
0,9,1,0
0,19.24,1,0
0,17.08333,1,0
0,24.05,1,0
0,22.5,1,0
0,5,1,0
0,11.75,1,0
0,14.95556,1,0
0,34.62,1,0
0,29.16667,1,0
0,12.58,1,0
0,37.975,1,0
0,25.95,1,0
0,17.05455,1,0
0,15.875,1,0
0,11.95556,1,0
0,21,1,0
0,19.16,1,0
0,26.925,1,0
0,25.48,1,0
0,31.25,1,0
0,27.875,1,0
0,14,1,0
0,48.075,1,0
0,28.85,1,0
0,36.05,1,0
0,24.75,1,0
0,25.18182,1,0
0,20.375,1,0
0,30.75,1,0
0,19.225,1,0
0,32.05,1,0
0,10,1,0
0,13.84,1,0
0.6923077,0,0,0
0,36.05,1,0
0,7.2,1,0
0,38.46667,1,0
0,31.25,1,0
0,10.79,1,0
0,35.375,1,0
0,21.625,1,0
0,49.45714,1,0
0,10.25,1,0
0,26.92,1,0
0,49.45714,1,0
0,28.40909,1,0
0,19.23077,1,0
0,35.825,1,0
0,14.425,1,0
0,26.06667,1,0
0,26.45,1,0
0,42.73333,1,0
0,9,1,0
0,23.075,1,0
0,4,1,0
0,22.22222,1,0
0,13.82,1,0
0,12,1,0
0,8.25,1,0
0,23.075,1,0
0,28.84,1,0
0,15,1,0
0,9,1,0
0,20.2,1,0
0,12.7,1,0
0,34.96363,1,0
0,34.96363,1,0
0,10.375,1,0
0,34.96363,1,0
0,42.73333,1,0
0,25.64444,1,0
0,10.41667,1,0
0,15,1,0
0,32.7,1,0
4.846154,0,0,0
0,38.44444,1,0
0,26,1,0
0,14.425,1,0
0,11.55,1,0
0,29.91111,1,0
0,14,1,0
